Name                                                Stmts   Miss  Cover
-----------------------------------------------------------------------
config\__init__.py                                      0      0   100%
config\asgi.py                                          4      4     0%
config\celery.py                                        6      6     0%
config\settings.py                                     40      0   100%
config\urls.py                                          7      0   100%
config\wsgi.py                                          4      4     0%
healthy_habits_tracker\__init__.py                      0      0   100%
healthy_habits_tracker\admin.py                         0      0   100%
healthy_habits_tracker\apps.py                          4      0   100%
healthy_habits_tracker\migrations\0001_initial.py       6      0   100%
healthy_habits_tracker\migrations\0002_initial.py       7      0   100%
healthy_habits_tracker\migrations\__init__.py           0      0   100%
healthy_habits_tracker\models.py                       19      1    95%
healthy_habits_tracker\pagination.py                    5      0   100%
healthy_habits_tracker\serializer.py                   10      0   100%
healthy_habits_tracker\services.py                      8      8     0%
healthy_habits_tracker\tasks.py                        13     13     0%
healthy_habits_tracker\tests.py                        48      0   100%
healthy_habits_tracker\urls.py                          5      0   100%
healthy_habits_tracker\validators.py                   36      6    83%
healthy_habits_tracker\views.py                        39      0   100%
manage.py                                              11      2    82%
users\__init__.py                                       0      0   100%
users\admin.py                                          0      0   100%
users\apps.py                                           4      0   100%
users\management\__init__.py                            0      0   100%
users\management\commands\__init__.py                   0      0   100%
users\management\commands\csu.py                       15     15     0%
users\migrations\0001_initial.py                        7      0   100%
users\migrations\__init__.py                            0      0   100%
users\models.py                                        18      1    94%
users\serialiser.py                                     6      0   100%
users\tests.py                                          0      0   100%
users\urls.py                                           7      0   100%
users\views.py                                         24      3    88%
-----------------------------------------------------------------------
TOTAL                                                 362     65    82%
